Year,GDP_Growth_Rate,Inflation_Rate,Unemployment_Rate,Interest_Rate
1980-01-01,-0.30,13.50,7.20,13.35
1981-01-01,2.50,10.40,7.60,16.39
1982-01-01,-1.80,6.20,9.70,12.24
1983-01-01,4.60,3.20,9.60,9.09
1984-01-01,7.20,4.40,7.50,10.23
1985-01-01,4.20,3.50,7.20,8.10
1986-01-01,3.50,1.90,7.00,6.80
1987-01-01,3.50,3.60,6.20,6.66
1988-01-01,4.20,4.10,5.50,7.57
1989-01-01,3.70,4.80,5.30,9.21
1990-01-01,1.90,5.40,5.60,8.10
1991-01-01,-0.10,4.20,6.90,5.69
1992-01-01,3.50,3.00,7.50,3.52
1993-01-01,2.80,3.00,6.90,3.02
1994-01-01,4.00,2.60,6.10,4.21
1995-01-01,2.70,2.80,5.60,5.83
1996-01-01,3.80,2.90,5.40,5.30
1997-01-01,4.40,2.30,4.90,5.46
1998-01-01,4.50,1.50,4.50,5.35
1999-01-01,4.80,2.20,4.20,4.97
2000-01-01,4.10,3.40,4.00,6.24
2001-01-01,1.00,2.80,4.70,3.88
2002-01-01,1.70,1.60,5.80,1.67
2003-01-01,2.80,2.30,6.00,1.13
2004-01-01,3.90,2.70,5.50,1.35
2005-01-01,3.50,3.40,5.10,3.22
2006-01-01,2.80,3.20,4.60,4.97
2007-01-01,2.00,2.90,4.60,5.02
2008-01-01,0.10,3.80,5.80,1.92
2009-01-01,-2.60,-0.30,9.30,0.16
2010-01-01,2.70,1.60,9.60,0.18
2011-01-01,1.50,3.10,8.90,0.10
2012-01-01,2.30,2.10,8.10,0.14
2013-01-01,1.80,1.50,7.40,0.11
2014-01-01,2.30,1.60,6.20,0.09
2015-01-01,2.70,0.10,5.30,0.13
2016-01-01,1.70,1.30,4.90,0.39
2017-01-01,2.20,2.10,4.40,1.00
2018-01-01,2.90,2.40,3.90,1.83
2019-01-01,2.30,1.80,3.70,2.16
2020-01-01,-2.80,1.30,8.10,0.37
2021-01-01,5.90,4.70,5.40,0.08
2022-01-01,2.10,8.00,3.60,1.69
2023-01-01,2.10,4.10,3.60,5.03
2024-01-01,1.50,2.80,3.80,5.33